Session,Time,Duration,Room,Speaker,Affiliation,Title
Plenary4,08:30,30,203+204,Yan Feng,Soochow University,From supercritical transition of dusty plasmas to diffusion mechanism of 2D fluids
Plenary4,09:00,30,203+204,Ting Long,Southwestern Institute of Physics,Studies of cross phase in turbulent Reynolds stress and particle flux in the edge of tokamak plasma
Plenary4,09:30,30,203+204,James Rosenzweig,UCLA Dept. of Physics and Astronomy,Plasma Wakefield Accelerators in Application: the Road to Discovery Science
Plenary4,10:00,30,203+204,Mahendra Verma,Indian Institute of Technology Kanpur,Kolmogorov-like turbulence phenomenology in magnetohydrodynamics
Plenary5,11:00,30,203+204,Mark Cheung,CSIRO,Data-driven Modelling of Solar Eruptive Flares
Plenary5,11:30,30,203+204,Takahiro Miyoshi,Hiroshima University,Riemann solvers for MHD: 20 years of the HLLD solver and beyond
Plenary5,12:00,30,203+204,Ya Zhang,Wuhan University of Technology,Numerical Study of RF Plasmas using PIC/MCC Simulations with External Circuitry
Plenary5,12:30,30,203+204,Andreas Kirschner,Forschungszentrum Jülich GmbH,Review of prompt redeposition in fusion devices with focus on tungsten-based plasma-facing components
A1-6: plasma processing and simulation/diagnostics,14:00,20,402+403,Kai Zhao,Dalian university of technology,Parameter dependences of charged particle dynamics and electron power absorption mode in dual-frequency capacitively coupled argon discharges
A2-7: Bio Applications,14:00,20,405+406,Seong Ling Yap,Universiti Malaya,Scalable and Gas-Free Plasma Systems for Extreme Biofilm Eradication
B1-8: Data Science,14:00,20,413,Sven Wiesen,DIFFER - Dutch Institute for Fundamental Energy Research,Data-driven models for fusion plasma exhaust: AI methods gaining maturity
B2-5: Plasma fundamental II,14:00,20,504+505,Takuma Yamada,Kyushu University,Observation of transitions in meso-scale structures formed in plasma turbulence
CD-5: Turbulence Spreading,14:00,40,401,Naoki Kenmochi,National Institute for Fusion Science,Experimental Identification of Local and Nonlocal Turbulence in Magnetically Confined Plasma
F-7: Structure formation and nonlinear waves,14:00,20,414,Abhay Ram,Massachusetts Institute of Technology,Quantum computing approach to wave propagation in plasmas
L1-5: EPS-AAPPS session,14:00,20,411,Gabriele Cristoforetti,"Intense Laser Irradiation Laboratory, INO-CNR",Experimental investigations of laser-plasma instabilities and of mitigation strategies at Shock Ignition laser intensities
L2-5: Wakefield acceleration II,14:00,20,412,Ming Zeng,"Institute of High Energy Physics, Chinese Academy of Science",Production of small energy spread and high charge beams in laser wakefield accelerators
MF1-5: Micrinstabilities and Confinement,14:00,20,409,Anders Henry Nielsen,technical University of Denmark,Simulating Edge Transport in MAST-U Using the FELTOR Code
MF2-5: MHD and RMP effects on edge plasmas,14:00,20,410,Jekil Lee,Korea Institute of Fusion Energy,Title: Observation of symmetry-breaking by RMP-induced edge kink-like modes in KSTAR and their effects on density pump-out
SA-5: Protoplanets and compact objects,14:00,20,502,Masahiro Machida,Kyushu University,Disk Formation and Magnetic Interchange Instability in Weakly Ionized Star-Forming Clouds
SG-5: Sun,14:00,20,503,Ryo Kono,"Interdisciplinary Graduate School of Engineering Sciences, K",Plasma two-fluid simulation using Physics-Informed Neural Networks
A1-6: plasma processing and simulation/diagnostics,14:20,20,402+403,Bocong Zheng,Beijing Institute of Technology,Transport analysis in capacitively coupled plasmas
A2-7: Bio Applications,14:20,20,405+406,Shinya Kumagai,Meijo University,A micro perfusion system for promoted cell growth using plasma exposure through micro air-liquid interface
B1-8: Data Science,14:20,20,413,Nitesh Bhatia,United Kingdom Atomic Energy Authority,"Visualising Fusion: Connecting Data, Design, and Discovery"
B2-5: Plasma fundamental II,14:20,20,504+505,Taiki Kobayashi,Kyushu University,Tomographic observation of solitary wave deformation by nonlinear effects of background asymmetry
F-7: Structure formation and nonlinear waves,14:20,20,414,Toseo Moritaka,National Institute for Fusion Science,Plasma structure formation in relativistic and non-relativistic beam interactions with magnetized plasma
L1-5: EPS-AAPPS session,14:20,20,411,Chiharu Nakatsuji,"Institute of Laser Engineering, The University of Osaka",Effects of density scale-length on laser–plasma instabilities and hot-electron generation for shock-ignition laser fusion
L2-5: Wakefield acceleration II,14:20,20,412,Nadezda Bobrova,Czech Technical University in Prague,Capillary discharge plasma channels for laser pulse guiding and active lensing charged particle beams
MF1-5: Micrinstabilities and Confinement,14:20,20,409,Chao Li,Peking University,Numerical Extraction of Nearest Canonical Equilibrium Distribution via Natural Gradient Descent method
MF2-5: MHD and RMP effects on edge plasmas,14:20,20,410,Neng Zhang,Southwestern Institute of Physics,Linear and quasi-linear toroidal modeling of resonant magnetic perturbations during ELM mitigation in HL-3 tokamak
SA-5: Protoplanets and compact objects,14:20,20,502,Yun-Wei Yu,Central China Normal University,Eclipsed X-ray Bursts and Fast Radio Burst Activity of Magnetar SGR J1935+2154
SG-5: Sun,14:20,20,503,Ryoya Sakata,"Research Center for Advanced Science and Technology, The Uni",Effects of a planetary magnetic field on ion escape from ancient Mars based on 3D global multifluid MHD simulations
A1-6: plasma processing and simulation/diagnostics,14:40,20,402+403,Masaya Shigeta,Tohoku University,The Difficulty and Charm of Computational Plasma Fluid Mechanics
A2-7: Bio Applications,14:40,20,405+406,Ram Prakash,Indian Institute of Technology Jodhpur,Non-equilibrium Cold Plasma Technologies for Health and Environmental Applications
B1-8: Data Science,14:40,20,413,Adriano Agnello,UK Science and Technology Facilities Council,AI and data solutions for experiment design and control
B2-5: Plasma fundamental II,14:40,20,504+505,Ramesh Narayanan,Indian Institute of Technology Delhi,Exploring the Potential of an ECR Source for Large-Area Hydrogen Negative Ion Production in Fusion Applications
CD-5: Turbulence Spreading,14:40,20,401,Taik Soo Hahm,Seoul national University,Application of Momentum Theorem to magnetized Plasma
F-7: Structure formation and nonlinear waves,14:40,20,414,Andreas Bierwage,QST,Long-lived density spikes in laser-driven Coulomb explosion folds
L1-5: EPS-AAPPS session,14:40,20,411,Michael Lavell,University of Rochester,Kinetic simulations of fusion burn propagation
L2-5: Wakefield acceleration II,14:40,20,412,Xinzhe Zhu,"School of Physics and Astronomy, Shanghai Jiao Tong Universi",High energy electron acceleration and mid-infrared radiation in curved plasma channel
MF1-5: Micrinstabilities and Confinement,14:40,20,409,Dongmei Fan,Southwestern Institute of Physics,Impact of Resonant Magnetic Perturbations on ELM Mitigation and Impurity Transport in HL-3 H-mode Plasmas
MF2-5: MHD and RMP effects on edge plasmas,14:40,20,410,Jian Xu,Dalian University of Technology,Deep learning based plasma response models to 3D external magnetic field perturbations in EAST
SA-5: Protoplanets and compact objects,14:40,20,502,Ashley Bransgrove,Princeton University,Extreme Plasma Physics of Neutron Stars
SG-5: Sun,14:40,20,503,Gang Li,Macau University of Science and Technology,Effect of Forbush Decrease on Global Electric Circuit
A1-6: plasma processing and simulation/diagnostics,15:00,20,402+403,Ho Jun Kim,Hanyang University,Analysis of stagnation point flow within an inductively coupled plasma reactor for the enhancement of deposition methodologies
A2-7: Bio Applications,15:00,15,405+406,Jaroslav Kristof,Shizuoka University,Reactive oxygen species influence on plasma-treated HL-60 cells
B1-8: Data Science,15:00,20,413,Samuel Jackson,UKAEA,Towards Open Machine Learning Datasets with AI Driven Annotation
B2-5: Plasma fundamental II,15:00,20,504+505,Zijia Chu,Harbin Institute of Technology,Dynamic characteristics and formation mechanism of the complex dynamics in subnormal glow discharge systems: Mixed-mode oscillations and period-adding bifurcation
CD-5: Turbulence Spreading,15:00,20,401,Katsumi Ida,National Institute for Fusion Science,Non-local transport nature revealed by experiments in toroidal plasmas
