Session,Time,Duration,Room,Speaker,Affiliation,Title
Opening,08:30,10,203+204,Masaharu Shiratani,Kyushu University,Opening remark
Opening,08:40,5,203+204,Rajdeep Singh Rawat,Nanyang Technological University,DPP Chair's address
Opening,08:45,5,203+204,Mitsuru Kikuchi,AAPPS-DPP,DPP CEO remark
Opening,08:50,15,203+204,Sudeep Bhattacharjee,Indian Institute of Technology Kanpur,U30 award ceremony
Opening,09:05,15,203+204,Hyyong Suk,GIST,U40 award ceremony
Opening,09:20,15,203+204,Se Youn Moon,Jeonbuk National University,PIP prize ceremony
Opening,09:35,15,203+204,Lou Chuang Lee,Academia Sinica,Chandrasekhar prize ceremony
Opening,09:50,5,203+204,Yasuaki Kishimoto,Kyoto University,Kunioki Mima memorial
Opening,09:55,5,203+204,Liu Chen,Zhejiang University,Akira Hasegawa memorial
Opening,10:00,10,203+204,Siwoo Yoon,KFE,Invitation to AAPPS-DPP2026 (Busan)
Opening,10:10,5,203+204,Wonho Choe,IUPAP C16 Member,IUPAP early career award ceremony
Plenary1,11:00,30,203+204,Qiu-Gang Zong,Peking University/ Macao University of Science and Technolog,Cross Scale Wave-Particle Interaction in Geospace
Plenary1,11:30,30,203+204,Keishi Sakamoto,"Kyoto Fusioneering,Ltd.",Progress of High Power Gyration for Fusion Devices
Plenary1,12:00,30,203+204,Felix Warmer,Max Planck Institute for Plasmaphysics,Latest performance achievements of the Wendelstein 7-X Stellarator
Plenary1,12:30,30,203+204,Linghua Wang,Peking University,Interplanetary Energetic Electrons
WIPP-1: WIPP WS,13:05,20,203+204,Ya Zhang,Wuhan University,"Challenges, Triumphs, and the Future of Women in Plasma Physics"
WIPP-1: WIPP WS,13:25,20,203+204,Farah Atour,Max Planck institute for Plasma Physics,From Engineering to Physics: A Personal Perspective on Interdisciplinary Research
WIPP-1: WIPP WS,13:45,20,203+204,Giuseppina Nigro,the University of Rome Tor Vergata,A Winner Is a Dreamer Who Never Gives Up: Reflections on My Journey through Plasma Physics and Astrophysics
A1-2: atmopsheric pressure plasma technology,14:00,20,402+403,Muhammad Shahid Rafique,University of Engineering and Technology,Material Fabrication/Modification using Atmospheric Pressure Plasma
