Session,Time,Duration,Room,Speaker,Affiliation,Title
Plenary6,08:30,30,203+204,Alexey Arefiev,UC San Diego,Exploring new physics regimes with ultra-high-intensity laser-plasma interactions
Plenary6,09:00,30,203+204,Ying Li,Purple Mountain Observatory,The solar white-light flares observed by ASO-S and CHASE
Plenary6,09:30,30,203+204,Colin M Roach,UKAEA,Recent Progress in our Understanding of Electromagnetic Turbulence in a Conceptual Spherical Tokamak FPP (STEP)
Plenary6,10:00,30,203+204,Edward Thomas,Auburn University,Magnetization of electrons and ions and their influence on dusty plasmas
Plenary7,11:00,30,203+204,Ramses Snoeckx,"Empa, Swiss Federal Laboratories for Materials Science and T","Electrons, kinetics, and entropy: unlocking the full potential of plasma-based gas conversion"
Plenary7,11:30,30,203+204,Brendan Lyons,General Atomics,Pulse Design and Digital Twin Capabilities of the FUSE Integrated-Modeling Framework
Plenary7,12:00,30,203+204,Joanna Pawlat,Lublin University of Technology,Application of Non-Thermal Plasma in Food Treatment and Biological Material Conditioning
Plenary7,12:30,30,203+204,Nareshpal Singh Saini,Guru Nanak Dev University Amritsar,Breather Structures and Peregrine Solitons in a Polarized Space Dusty Plasma
B1-10: Data Science,14:00,20,413,Mitsuru Honda,"Graduate School of Engineering, Kyoto University",Transport model surrogates via Gaussian process regression
B2-7: Low temperature plasma II,14:00,20,504+505,Fumiaki Mitsugi,Kumamoto University,Application of optical wave microphone for plasma jets
CD-7: MHD turbulence,14:00,40,401,Rahul Pandit,"Department of Physics, Indian Institute of Science",Large-scale multifractality and non-self-similar energy decay in one-dimensional (1D) Burgers and three-dimensional (3D) Navier-Stokes turbulence
L1-7: IFE alternative,14:00,20,411,Takashi Kikuchi,Nagaoka University of Technology,Study on Peripheral System and Issues for Heavy–Ion Inertial Fusion Reactor
L2-7: HHG and THz,14:00,20,412,Tsuneyuki Ozaki,INRS-EMT,High-order harmonics generation and attosecond dynamics in laser-produced plasma
MF1-7: High-Performance Plasmas,14:00,20,409,Juan Huang,ASIPP,Recent Progress of Long-pulse High-confinement Plasma on EAST
MF2-7: Wall conditioning,14:00,20,410,Jeongwon Lee,Korea Institute of Fusion Energy,Poloidal field configuration effect to electron cyclotron wall cleaning in KSTAR
SA-7: CMEs,14:00,20,502,Ayumi Asai,"Astronomical Observatory, Kyoto University","Advancing Solar Observations with DST and SMART, Hida Observatory, Kyoto University"
SG-7: Ionosphere,14:00,20,503,Jing Jiao,"NSSC,CAS",Equatorward wind driven significant upwelling of Ca+ layer over middle latitude during the November 2023 strong geomagnetic storm
B1-10: Data Science,14:20,20,413,Aaro Järvinen,VTT,Towards scalable large-scale model validation with data science
B2-7: Low temperature plasma II,14:20,20,504+505,Simon P. H. Vincent,"Ecole Polytechnique de Lausanne (EPLF), Swiss Plasma Center ",Helicon waves in toroidal geometry
L1-7: IFE alternative,14:20,20,411,Wei-Min Wang,"Department of Physics, Renmin University of China",Laser parameter design for DCI laser fusion
L2-7: HHG and THz,14:20,20,412,Yao-Li Liu,"Institute of Space and Plasma Sciences, National Cheng Kung ",Tomographic Measurement and Quasi-Phase Matching of High-Order Harmonic Generation via the Selected-Zoning Method
MF1-7: High-Performance Plasmas,14:20,20,409,Toshiki Kinoshita,Kyushu university,Advances in Turbulence-Driven Transport Control for improved Plasma Confinement
MF2-7: Wall conditioning,14:20,20,410,Karl Krieger,Max-Planck-Institute for Plasma Physics,Efficiency of glow discharge boronisation in ASDEX Upgrade and WEST
SA-7: CMEs,14:20,20,502,Qingmin Zhang,Purple Mountain Observatory,Investigating the early evolutions of non-radial solar eruptions
SG-7: Ionosphere,14:20,20,503,Binzheng Zhang,The University of Hong Kong,Transition from a Dungey convection- to rotation-dominated magnetosphere: Implications of magnetic topology and auroral morphology
B1-10: Data Science,14:40,20,413,Shinya Maeyama,National Institute for Fusion Science,Improvement of turbulent transport model using multi-fidelity data fusion approach
B2-7: Low temperature plasma II,14:40,20,504+505,Daiki Nishimura,National Institute for Fusion Science,Rotational movement analysis for cylindrical plasma images obtained with tomography
CD-7: MHD turbulence,14:40,20,401,James Beattie,Princeton University and the Canadian Institute of Theoretic,Fundamental Results from the World’s Largest Simulation of Compressible MHD Turbulence: Applications to Astrophysical and Space Plasmas
L1-7: IFE alternative,14:40,20,411,Naoki Okuda,The University of Osaka,High-density plasma heating with non-local electrons accelerated at a steepened plasma surface formed by PW relativistic laser
L2-7: HHG and THz,14:40,20,412,Aurélien Houard,"Laboratoire d'Optique Appliquée, CNRS, ENSTA, Ecole polytech",Steering laser-produced THz radiation in air with superluminal ionization fronts
MF1-7: High-Performance Plasmas,14:40,20,409,Nengchao Wang,Huazhong University of Science and Technology,Electron internal transport barrier induced by NTM in the ECRH plasma on J-TEXT
MF2-7: Wall conditioning,14:40,20,410,Florian Effenberg,Princeton Plasma Physics Laboratory,"Real-time boron injection for plasma-facing component conditioning, tungsten source control, and implications for ITER"
SA-7: CMEs,14:40,20,502,Xiaozhou Zhao,"Yunnan Observatories, CAS",Flux rope eruptions and shocks: 2.5D numerical modeling
SG-7: Ionosphere,14:40,20,503,Hyuckjin Kwon,Korea Polar Research Institute,Sun-aligned arc motion driven by magnetic reconnection under northward IMF
B1-10: Data Science,15:00,20,413,Alex Panera Alvarez,DIFFER,Pellet Fueling: AI-Enhanced Surrogate Modeling and Integrated Modelling
B2-7: Low temperature plasma II,15:00,20,504+505,Atsushi Okamoto,Nagoya University,High temperature bubble phenomenon in ECR plasmas
CD-7: MHD turbulence,15:00,20,401,Ameir Shaa Bin Akber Ali,NTU,Fast Hybrid Neural Interpolation of Nonlinear Dynamics
L1-7: IFE alternative,15:00,20,411,Tomoyuki Johzaki,Hiroshima University,Neutronic effects on ignition and burn dynamics in fast ignition laser fusion
L2-7: HHG and THz,15:00,20,412,Seong Hee Park,Korea University Sejong campus,"R&Ds of Compact, hybrid-type sub-THz Wakefield Accelerator"
MF1-7: High-Performance Plasmas,15:00,20,409,Gianluca Pucella,"ENEA, C.R. Frascati",Hybrid scenario at high beta with mild MHD activity on MAST-U
MF2-7: Wall conditioning,15:00,20,410,Shota Abe,Princeton Plasma Physics Laboratory,Deuterium retention and removal of boron powder to estimate tritium inventory in advanced fusion reactors
SA-7: CMEs,15:00,20,502,Jinhan Guo,Nanjing University,Numerical MHD Modelings of Failed Solar Eruptions: Constraints and Observational Manifestations
SG-7: Ionosphere,15:00,20,503,Laila Zafar Kahlon,"Forman Christian College (a Chartered University), Lahore",Damped KP equation for magnetosonic waves in a dissipative ionospheric F Layer OH plasma
B1-10: Data Science,15:20,15,413,Kotaro Fujii,Nagoya University,Causal relationship from multivariate time series and dominant scale for ITG turbulent transport
B2-7: Low temperature plasma II,15:20,20,504+505,Akihito Ogawa,Kyoto Institute of Technology,Experimental analysis of the antisymmetric vorticity during convective vortex merging in electron plasma
CD-7: MHD turbulence,15:20,20,401,David Garrido González,Aix-Marseille University,Modeling Nonlinear and Chaotic Dynamics with Interpretable Data-Driven Reduced Order Models
L1-7: IFE alternative,15:20,15,411,Yasuhiko Sentoku,"Institute of Laser Engineering, The University of Osaka",Fast heatwave ignition in laser fusion
