Session,Time,Duration,Room,Speaker,Affiliation,Title
Plenary2,08:30,30,203+204,Hiroya Yamaguchi,JAXA/ISAS,X-Ray Imaging and Spectroscopy Mission (XRISM): High-Resolution Spectroscopy of Astrophysical Plasmas
Plenary2,09:00,30,203+204,Vladimir Rosenhaus,CUNY Graduate Center,Theory of Wave Turbulence
Plenary2,09:30,30,203+204,Anna Tenerani,The University of Texas at Austin,Compressible effects in solar wind turbulence
Plenary2,10:00,30,203+204,Gianluca Gregori,University of Oxford,Laboratory astroparticle physics: from the stability of laboratory blazar's jets to heavy axion searches
Plenary3,11:00,30,203+204,Tobias Dornheim,Helmholtz-Zentrum Dresden-Rossendorf (HZDR,Understanding warm dense matter: from theory to experiment
Plenary3,11:30,30,203+204,Haiqing Liu,"Institute of Plasma Physics, Chinese Academy of Sciences",Progress on Burning Plasma Diagnostic Design for CFEDR
Plenary3,12:00,30,203+204,Yasushi Ono,University of Tokyo,Magnetic Reconnection for Fusion Plasma Ignition and Current Drive
Plenary3,12:30,30,203+204,Bornali Sarma,University of Delhi,Fabrication of TENG inspired Ag-Cu coated banana fabric textile for wearable and sustainable Bio Sensor adopting plasma sputtering technology
WIPP-2: WIPP WS,13:05,20,203+204,Haruka Suzuki,Nagoya University,Women in STEM in Japan: Current Efforts and Challenges
WIPP-2: WIPP WS,13:25,20,203+204,Anna Tenerani,"University of Texas, Austin",A Journey of Purpose and Growth in Plasma Physics
A1-4: plasma processing and simulation/diagnostics,14:00,20,402+403,Shota Nunomura,National Institute of Advanced Industrial Science and Techno,"Radical, ion, and photon’s effects on material damage in plasma etching"
A2-5: Bio Applications,14:00,20,405+406,Katsuhisa Kitano,The University of Osaka,Identification of key chemical species in plasma-treated water for effective and safe disinfection
B1-5: Diagnostics,14:00,20,413,Kenichiro Terasaka,Sojo University,Advanced Laser-Doppler Spectroscopy with Twisted Wavefront for Plasma Flow Measurements
B1-6: Simulation,14:00,20,404,Hanyang Lyu,CAS Key Laboratory of Frontier Physics in Controlled Nuclear,The current driven by the electromagnetic Ion Temperature Gradient turbulence
B2-3: Dusty plasma II,14:00,20,504+505,Job Beckers,Eindhoven University of Technology,Complex Ionized Media and Contamination Control in Semiconductor Industry
CD-3: Magnetic islands,14:00,40,401,Akihiro Ishizawa,"Graduate School of Energy Science, Kyoto University",Nonlinear interactions between toroidal Alfven eigenmode and microturbulence
F-5: Turbulence and transport phenomena II,14:00,20,414,Ozgur Gurcan,"CNRS, Laboratoire de Physiqe des Plasmas, Ecole Polytechniqu",Phase transition from hydrodynamic turbulence to zonal flows and back
MF1-10: Plasma Heating,14:00,20,412,Masaki Uchida,Kyoto University,Non-inductive startup of overdense spherical tokamak by electron Bernstein waves with reduced trapped electrons
MF1-3: MHD Physics,14:00,20,409,Yinan Zhou,University of Science and Technology of China,The Poloidal Particle Dynamic during Sawtooth Collapse on J-TEXT
MF2-3: Effects of neutrals and impurities on edge plasmas,14:00,20,410,George Wilkie,Princeton Plasma Physics Laboratory,Neutral recycling studies with advanced tooling
SA-3: Disk &ISM,14:00,20,502,Tetsuo Taki,The University of Tokyo,New framework for dust diffusion in partially ionized plasma with high dust-to-gas ratio: an application to a gap created by a protoplanet in a protoplanetary disk
SG-3: Wave-Particle Interactions I,14:00,20,503,Muhammad Nouman Sarwar Qureshi,"Department of Physics, Government College University",Cluster Observations of Whistler Waves and Associated Non-Maxwellian Velocity Distributions
A1-4: plasma processing and simulation/diagnostics,14:20,20,402+403,Keiichiro Urabe,Kyoto University,Monitoring of low-temperature plasma processes by in-situ impedance spectroscopy
A2-5: Bio Applications,14:20,20,405+406,Miran Mozetic,Jozef Stefan Institute,Cold plasma within a stable supercavitation bubble - a breakthrough technology for efficient inactivation of viruses in water
B1-5: Diagnostics,14:20,20,413,Nikolay Britun,"Center for Low-temperature Plasma Sciences, Nagoya Universit",Emission and absorption-based plasma diagnostic techniques for number density detection: Basics and Examples
B1-6: Simulation,14:20,20,404,Lei Qi,Korea Institute of Fusion Energy,Global gyrokinetic simulations of isotope effects for future tokamak plasma core and pedestal
B2-3: Dusty plasma II,14:20,20,504+505,Chengran Du,Donghua University,Vortex formation in a phase-separated binary complex plasma under microgravity
F-5: Turbulence and transport phenomena II,14:20,20,414,Francesco Pucci,"National Research Council, Institute for Plasma Science and ",A wavelet-based model of magnetic turbulence in plasmas: features and applications
MF1-10: Plasma Heating,14:20,20,412,Jian Liu,Shandong University,Canonical Hamiltonian Theory and Symplectic Algorithms of Guiding Center Dynamics
MF1-3: MHD Physics,14:20,20,409,Yihang Chen,Southwestern Institute of Physics,Preliminary experimental study of sawtooth pacing control in strong neutral beam heated plasmas on the HL-3 tokamak
MF2-3: Effects of neutrals and impurities on edge plasmas,14:20,20,410,Yulin Zhou,Southwestern Institute of Physics,Study of neutrals and impurity transport effects on divertor detachment
SA-3: Disk &ISM,14:20,20,502,Daisei Abe,Tohoku University,Growth of Massive Molecular Filament by Accretion Flows: New mechanism to Support a Supercritical Filament against Radial Collapse
SG-3: Wave-Particle Interactions I,14:20,20,503,Jinsong Zhao,Purple Mountain Observatory,Resonant and nonresonant wave-particle interactions in the mirror and firehose instabilities
A1-4: plasma processing and simulation/diagnostics,14:40,20,402+403,Takayoshi Tsutsumi,Nagoya University,Transport mechanism of active species in high-aspect-ratio hole during plasma etching
A2-5: Bio Applications,14:40,20,405+406,Michihiko Nakano,Kyushu University,Novel biological indicator using DNA-labeled microbeads for evaluating nonthermal plasma sterilization
B1-5: Diagnostics,14:40,20,413,Kentaro Sakai,National Institute for Fusion Science,Collective Thomson scattering for non-equilibrium plasma measurements
B1-6: Simulation,14:40,20,404,Keiji Fujita,Nagoya university,Extension and application of the gyrokinetic code GKV to space plasmas
B2-3: Dusty plasma II,14:40,20,504+505,Evan Matthew Aguirre,Indian Institute of Technology Delhi,Direct measurements of ion dynamics in a dusty plasma
CD-3: Magnetic islands,14:40,20,401,Lizhe Guo,"Institute of Physics, Chinese Academy of Sciences",Impacts of self-organized zonal fields on BAE nonlinear dynamics in phase space
F-5: Turbulence and transport phenomena II,14:40,20,414,Adriana Settino,"Space Research Institute (IWF), Austrian Academy of Sciences",Energy conversion pathways driven by Kelvin-Helmholtz instability
MF1-10: Plasma Heating,14:40,20,412,Kristel Crombe,"Laboratory for Plasma Physics, Royal Military Academy, Bruss",Advancements in Commissioning the ICRH System for Wendelstein 7-X
MF1-3: MHD Physics,14:40,20,409,Oleg Samoylov,Max Planck Institute for Plasma Physics,Magnetic reconnection rate during sawtooth crashes in ASDEX Upgrade and EAST
